Action,Tier,Reason,Survivor Company,Survivor City,Survivor Phone,Survivor Stage,Survivor Status,Survivor Activities,Survivor Symphony ID,Survivor DB ID,Loser Company,Loser City,Loser Phone,Loser Stage,Loser Status,Loser Activities,Loser Symphony ID,Loser DB ID
,REVIEW,"same phone, names differ",San Remo Italian Restaurant and Pizza,Melbourne,321-254-0655,new_lead,prospect,0,54d39af6-845e-2cac-fbd9-55f1cbd6cfce,c8db8fe5-0082-4171-859a-c3de1dac651d,San Remo Italian Rstrnt & Pzzr,Melbourne,321-254-0655,new_lead,prospect,0,6b800fdb-1ad5-7851-75bb-52d42a2c8b7e,b1eb5325-a167-4033-8d14-138c77e83284
,REVIEW,"same phone, names differ",Joumana Mediterranean Cuisine,Palm Bay,321-768-0120,new_lead,prospect,0,696f0a9f-c0a7-adfe-6125-52d425fe3a7a,3d89b37a-09e0-4cc8-b0a1-0f9837828fdf,Trattoria Bella,Palm Bay,3217680120,new_lead,prospect,0,806234bc-e297-1cf2-9121-698e64fe8ead,2b7001c6-24b1-4454-857c-b5bd6cd2dbd5
,REVIEW,"same phone, names differ",Squid Lips - Cocoa Beach,Cocoa Beach,321-783-1350,closed_won,customer,0,91761fbf-5e47-02dc-004c-698e64258c78,e36c4629-b976-4754-9ec6-44afe0fd0185,Jack Baker's Lobster Shanty,Cocoa Beach,321-783-1350,new_lead,prospect,0,27e20f9f-2fc0-51ea-91fb-52d4250d28ea,dc2e0da1-3905-4d23-bf9e-24a286b33bb6
,REVIEW,"same phone, names differ",Squid Lips - Cocoa Beach,Cocoa Beach,321-783-1350,closed_won,customer,0,91761fbf-5e47-02dc-004c-698e64258c78,e36c4629-b976-4754-9ec6-44afe0fd0185,Squid Lips Overwater Grill - Cocoa Beach,Cocoa Beach,321-783-1350,new_lead,prospect,0,8d988c43-12a6-addd-456e-659d7e67a7bd,ad6d841b-700d-4720-b847-e0d06f2cfeec
,REVIEW,"same phone, names differ",Squid Lips Overwater Grill - Cocoa Beach,Cocoa Beach,321-783-1350,new_lead,prospect,0,8d988c43-12a6-addd-456e-659d7e67a7bd,ad6d841b-700d-4720-b847-e0d06f2cfeec,Jack Baker's Lobster Shanty,Cocoa Beach,321-783-1350,new_lead,prospect,0,27e20f9f-2fc0-51ea-91fb-52d4250d28ea,dc2e0da1-3905-4d23-bf9e-24a286b33bb6
,REVIEW,"same phone, names differ",Pho Cal Vietnamese Restaurant,Melbourne,321-255-7525,closed_lost,prospect,0,273d04e5-a2d4-f08b-0002-52d429cb20b4,c9b88f62-5e34-449c-9762-c22b50d83954,Pho Cali Restaurant,Melbourne,3212557525,new_lead,prospect,0,1c569c8a-a383-a86a-6ba8-698e63a51f6a,db260895-4626-4449-93e7-d474cd45a19b
,REVIEW,"same phone, names differ",Bizzarro Famous Ny Pasta & Pzz,Satellite Beach,321-777-4992,new_lead,prospect,0,8d3b43cd-1317-94f5-3813-52d41df36141,f749955b-926d-456e-a468-28600d68df52,Bizzarro Pizza,Satellite Beach,321-777-4992,new_lead,prospect,0,5df46876-efc5-21e3-86de-65628deae0e0,1e35129a-f41d-4931-b02e-d72ab8d02934
,REVIEW,"same phone, names differ",Bizzarro Famous Ny Pasta & Pzz,Satellite Beach,321-777-4992,new_lead,prospect,0,8d3b43cd-1317-94f5-3813-52d41df36141,f749955b-926d-456e-a468-28600d68df52,Bizzarro Pasta & Pizza,Satellite Beach,3217774992,new_lead,prospect,0,60b4ba8e-7863-0133-f704-698e63e3b638,45fca258-14de-4c65-a348-ddf58ec40889
,REVIEW,"same phone, names differ",Bizzarro Pizza,Satellite Beach,321-777-4992,new_lead,prospect,0,5df46876-efc5-21e3-86de-65628deae0e0,1e35129a-f41d-4931-b02e-d72ab8d02934,Bizzarro Pasta & Pizza,Satellite Beach,3217774992,new_lead,prospect,0,60b4ba8e-7863-0133-f704-698e63e3b638,45fca258-14de-4c65-a348-ddf58ec40889
,REVIEW,"same phone, names differ",Pig and Whistle,Cocoa Beach,321-799-0724,closed_won,customer,0,91c57238-dad4-5f26-67a8-55a3ce6dd7a7,ca0f81ae-e74a-4335-b2a7-07e9edcc588d,Pig & Whistle,Cocoa Beach,3217990724,new_lead,prospect,0,26694c47-55eb-239c-ef87-698e64af0af5,39dee714-5a70-465c-9329-075bee5cfbdd
,REVIEW,"same phone, names differ",Pig and Whistle,Cocoa Beach,321-799-0724,closed_won,customer,0,91c57238-dad4-5f26-67a8-55a3ce6dd7a7,ca0f81ae-e74a-4335-b2a7-07e9edcc588d,Pig & Whistle English Pub,Cocoa Beach,321-799-0724,new_lead,prospect,0,47510e41-153a-733d-adb7-52d4180748ab,3067d6e3-bd43-44ed-af1a-6bafb2cd43f1
,REVIEW,"same phone, names differ",River Rocks and the Dock,Rockledge,321-757-7200,new_lead,prospect,0,a2af929d-59f6-6258-6761-5657216b9141,235a5127-4639-4492-977b-22f60d8e989b,River Rocks Dining Dockside,Rockledge,3217577200,new_lead,prospect,0,4963b8e4-6e2d-42aa-20c9-698e64d73ef4,296eaa00-5582-4dd6-9bfd-c866605aa6d5
,REVIEW,"same phone, names differ",River Rocks Dining & Drinks,Rockledge,321-757-7200,new_lead,prospect,0,85367d38-0905-8d22-7c4d-52d4295aca61,c94fe28f-dafc-4c5a-9e6b-55749be972d4,River Rocks Dining Dockside,Rockledge,3217577200,new_lead,prospect,0,4963b8e4-6e2d-42aa-20c9-698e64d73ef4,296eaa00-5582-4dd6-9bfd-c866605aa6d5
,REVIEW,"same phone, names differ",River Rocks and the Dock,Rockledge,321-757-7200,new_lead,prospect,0,a2af929d-59f6-6258-6761-5657216b9141,235a5127-4639-4492-977b-22f60d8e989b,River Rocks Dining & Drinks,Rockledge,321-757-7200,new_lead,prospect,0,85367d38-0905-8d22-7c4d-52d4295aca61,c94fe28f-dafc-4c5a-9e6b-55749be972d4
,REVIEW,"same phone, names differ",Nitro Kitchen & Cocktails,Merritt Island,(321) 367-0637,new_lead,prospect,0,e600973b-bf7d-0af6-5a7e-66fc0f4db335,52137981-d9b7-4bf7-86b3-8ff52ca32477,Nitro Sushi,Melbourne,3213670637,new_lead,prospect,0,84434f36-ce6e-1104-6dbd-698e63ec07cd,6672a6b1-fbb0-43de-8dcf-de4ed6407f11
,REVIEW,"same phone, names differ",Memaw's Bar-B -Q,Palm Bay,321-409-9670,new_lead,prospect,0,5fe79964-b1a1-afa2-0a57-55f821a12767,e72c1c69-7db9-48d4-9fc9-088820f5a810,Memaws BBQ,Palm Bay,321-409-9670,new_lead,prospect,0,6e8520db-81f7-dae8-17af-52d4273dfd19,5e41a190-2ba3-4f05-8767-106dcc01a2f4
,REVIEW,"same phone, names differ",Pane E Vine,Melbourne,321-676-5499,new_lead,prospect,0,967b4247-f326-8430-3277-52d4282525ea,994fa6f9-59e8-4acf-9ac5-54fd07637dcd,Pane E Vino Italian Rstrnt,Melbourne,3216765499,new_lead,prospect,0,aca20197-1b73-da1f-9938-698e63d4c8c7,74bf6e44-fe43-495b-ba9b-98d74b60607e
,REVIEW,"same phone, names differ",Melbourne Seafood Station - Harbor City Blvd,Melbourne,321-327-3393,new_lead,prospect,0,b20d44be-7945-530c-f11e-65679090296e,bf1fb2b1-d66c-487b-a43c-97f2cef1237f,Melbourne Seafood Sta-Downtown,Melbourne,3213273393,new_lead,prospect,0,af899731-f9b9-ed83-66a7-698e63fd5450,90c4f9ca-07fe-4f74-aaf9-b0fcce235881
,REVIEW,"same phone, names differ",2002 Diner,Sebastian,772-664-4463,new_lead,prospect,0,7eb707da-b64a-e92b-bd9b-52d41ee499ad,fa12b87b-a96d-4404-aa15-e8e1992055f3,RJ Family Restaurant,Barefoot Bay,7726644463,new_lead,prospect,0,e5822fc2-472a-e2f8-97b2-698e6428dc7d,637597b7-c6de-42d6-96f6-d784e139cd19
,REVIEW,"same phone, names differ",Rebellion Wine Bar,Cocoa,321-806-3169,new_lead,prospect,0,dbc6d3ff-b5e2-0848-8a87-644976fbc6bc,246765fb-508f-490d-ab6c-f1f29f7060e2,Rebellion Beachside Bar & Bistro/Rebellion Cantina,Cocoa Beach,(321) 806-3169,new_lead,prospect,0,84ddc588-a4d8-adf2-e466-67192571b396,7571db77-76bc-4699-8368-59086ea3ec23
,REVIEW,"same phone, names differ",Hop-Bo Chinese Restaurant,Rockledge,321-638-8838,new_lead,prospect,0,a33e8ec6-ac65-d423-ee58-52d424b409af,b96acf62-dce8-465f-99c5-992e6fd7d3e9,Hop Bo Chinese-Viera,Rockledge,3216388838,new_lead,prospect,0,25c7602c-9a98-3987-559f-698e63111cfd,5d552725-6f0e-45d5-8344-7435ed9bfdf9
,REVIEW,"same phone, names differ",Marisol,Melbourne,321-775-0012,new_lead,prospect,0,b619df3f-a5e5-1b49-5c07-6449762282c1,78444990-64a8-4f67-b183-b0721b180779,Longboards Oceanfront Grille,Indialantic,3217750012,new_lead,prospect,0,54f0039c-33ab-9ed1-8e96-698e637b2ba8,f8cb851f-d746-4ba1-bd07-d20fbcf01f27
,REVIEW,"same phone, names differ",Grapevine Cafe,Indian Hrbr Bch,321-773-2001,new_lead,prospect,0,22279994-ab17-fab1-282b-52d424b0affc,4e1a9344-21e1-4ef1-801a-b85a2d3e01a5,Green Turtle Market,Indian Hrbr Bch,3217732001,new_lead,prospect,0,58863ea0-7590-378b-531f-698e63e871de,eec8e601-4095-4235-9fba-424744fc2bb2
,REVIEW,"same phone, names differ",Fujiyama Steakhouse,Melbourne,321-255-6633,new_lead,prospect,0,1112a9a1-a92d-69bc-b922-5617d40f0c1e,40f9ec64-821b-4f68-9b16-76e791813433,Fujiyama Seafood & Steak,Melbourne,321-255-6633,new_lead,prospect,0,1fb7afa1-b228-ce30-7347-52d42354b748,df0709a4-e6e4-48a6-b4a2-090a2d08861f
,REVIEW,"same phone, names differ",LA Bamba Mexican Restaurant,Rockledge,321-637-9607,new_lead,prospect,0,1a4967bf-9c00-33f7-14f3-52d425063400,8b2279a3-7fe3-4046-a502-44d79a534712,LA Marimba Cocina Mexicana,Rockledge,3216379607,new_lead,prospect,0,899e8c99-25d7-f302-12d5-698e63acfbe7,c2357ed9-234b-451d-8ae8-c46c19752ec8
,REVIEW,"same phone, names differ",Ichabod's Indialantic,Indialantic,321-777-0214,new_lead,prospect,0,c76f334f-61aa-5b00-c2af-561415a7260f,9c1ea2e7-0ec0-49dc-bed0-d4c76ba7d0e5,Ichabod's Bar and grill,Indialantic,321-777-0214,new_lead,prospect,0,8f8630b7-70d1-ad29-1ea9-56781af8e870,24cb3611-5580-402a-ba0e-0dde7d6c9c45
,REVIEW,"same phone, names differ",Little Dos,Satellite Beach,321-777-3093,new_lead,prospect,0,5fbe45d1-ddc6-c9b8-d50b-55f9a2a29458,08601ccc-0aaf-4af5-ba89-70754587cc1e,Cantina Dos Amigos,Satellite Beach,321-777-3093,new_lead,prospect,0,ce7ac117-ff9b-0728-1658-52d420373f23,189e09f5-5a82-4507-b15c-32c12e4204de
,REVIEW,"same phone, names differ",ethel+freds restaurant,Melbourne,321-725-6855,new_lead,prospect,0,1c20a9b2-b7c2-3fac-f401-6476286284f5,08be4a4e-7ffc-4a41-8828-84dbbe81107e,Ethel & Fred's Entree Rstrnt,West Melbourne,3217256855,new_lead,prospect,0,28887f97-9e9f-1eee-dcf4-698e6311adbf,eb38a439-4f4d-4a49-a7e2-067d512c21e7
,REVIEW,"same phone, names differ",Fred and Ethel's restaurant,Melbourne,321-725-6855,new_lead,prospect,0,eadbbec0-00fc-0bef-9c7c-56571c2a93a5,8ed46388-b57e-41d1-8480-5fcba39e0745,Ethel & Fred's Entree Rstrnt,West Melbourne,3217256855,new_lead,prospect,0,28887f97-9e9f-1eee-dcf4-698e6311adbf,eb38a439-4f4d-4a49-a7e2-067d512c21e7
,REVIEW,"same phone, names differ",ethel+freds restaurant,Melbourne,321-725-6855,new_lead,prospect,0,1c20a9b2-b7c2-3fac-f401-6476286284f5,08be4a4e-7ffc-4a41-8828-84dbbe81107e,Ethel & Fred's Family Rstrnt,West Melbourne,321-725-6855,new_lead,prospect,0,b9efd842-7603-65b7-165f-52d422f95fe3,d0e6b1bc-a92d-4960-84ed-7a86ef9a8607
,REVIEW,"same phone, names differ",Fred and Ethel's restaurant,Melbourne,321-725-6855,new_lead,prospect,0,eadbbec0-00fc-0bef-9c7c-56571c2a93a5,8ed46388-b57e-41d1-8480-5fcba39e0745,ethel+freds restaurant,Melbourne,321-725-6855,new_lead,prospect,0,1c20a9b2-b7c2-3fac-f401-6476286284f5,08be4a4e-7ffc-4a41-8828-84dbbe81107e
,REVIEW,"same phone, names differ",Fred and Ethel's restaurant,Melbourne,321-725-6855,new_lead,prospect,0,eadbbec0-00fc-0bef-9c7c-56571c2a93a5,8ed46388-b57e-41d1-8480-5fcba39e0745,Ethel & Fred's Family Rstrnt,West Melbourne,321-725-6855,new_lead,prospect,0,b9efd842-7603-65b7-165f-52d422f95fe3,d0e6b1bc-a92d-4960-84ed-7a86ef9a8607
,REVIEW,"same phone, names differ",jersey brother diner,palm bay,321-676-1200,new_lead,prospect,0,b4e9ae8f-c9c3-a415-9242-647627c7b4d8,155ddd0f-e74f-4574-9a1a-46a9c1de3d7f,Chekmarcs Of Palm Bay Inc,Palm Bay,321-676-1200,new_lead,prospect,0,ce8220b3-1825-61d9-f46e-52d420615ed2,067fc808-fa54-460a-b939-981dfb4e7bdc
,REVIEW,"same phone, names differ",Jersey Brothers Diner,Palm Bay,321-676-1200,closed_won,customer,0,8440b197-91ac-11e2-bc57-66ce61efd33d,6bdf0be3-f01a-4866-b792-4b5bd9620efc,Chekmarcs Of Palm Bay Inc,Palm Bay,321-676-1200,new_lead,prospect,0,ce8220b3-1825-61d9-f46e-52d420615ed2,067fc808-fa54-460a-b939-981dfb4e7bdc
,REVIEW,"same phone, names differ",Charlie & Jakes Melbourne,Melbourne,321-777-7675,closed_lost,prospect,0,1d5b1f7e-9acb-17be-c0ff-56141b8867a0,9199d8d4-e582-4ca5-9eac-49f7e9f21eaf,Charlie & Jake's Barbecue,Indian Hrbr Bch,321-777-7675,new_lead,prospect,0,a5e6b9a6-c2e0-9ca8-d501-52d420ae4017,870cae66-35ff-45cd-9262-b0734b4bb2bd
,REVIEW,"same phone, names differ",Charlie & Jakes Melbourne,Melbourne,321-777-7675,closed_lost,prospect,0,1d5b1f7e-9acb-17be-c0ff-56141b8867a0,9199d8d4-e582-4ca5-9eac-49f7e9f21eaf,Charlie & Jake's Barbecue Restaurant,Indian Harbour Beach,321-777-7675,new_lead,prospect,0,eaeb3230-94f2-d5df-353e-549987b1ea18,7b724d50-56e7-4f5a-a66b-c3b8c8e51051
,REVIEW,"same phone, names differ","Carrabba's of Germantown, Inc.",Daytona Beach,386-255-3344,new_lead,prospect,0,c15cc531-d11b-45a9-0a3d-5c6130fe6ec9,91788880-cb3c-4576-9709-78e38da4cd36,Carrabba's Italian Grill,Daytona Beach,386-255-3344,new_lead,prospect,0,b0f2e6f8-a5e0-b039-7fe6-520bbf5ecf5f,7738d82e-6011-4d16-bd3e-25e2757c5964
,REVIEW,"same phone, names differ",Sunset Waterfront Grill & Bar,Cocoa Beach,321-783-8485,closed_lost,prospect,0,dc8f34ab-a2d9-f1dc-2ade-52d42bac8fc1,a24aa114-9359-4633-a2df-66121ab67184,Sunset Grill and Bar,Cocoa Beach,321-783-8485,new_lead,prospect,0,1384ef0c-c313-38d6-279f-55b52f7c691a,d694d2aa-276c-4253-a24e-b4460a8af94e
,REVIEW,"same phone, names differ",D Italian Grill,Melbourne Beach,321-723-0383,new_lead,prospect,0,6a695caf-d44d-5df3-69a9-52d422ad8bb1,7f2be30c-8f77-417d-95cb-974d7148ca0f,Deangelo's By The Sea,Melbourne Beach,3217230383,new_lead,prospect,0,d711c65f-c8ce-84ee-f7f6-698e6331c955,5c19d2a0-56af-45f5-9dba-6a7a050c2d04
,REVIEW,"same phone, names differ",Chef Mario's Cafe,Melbourne,321-241-4890,new_lead,prospect,0,120e60a0-c913-b915-ed62-52d420ed5dd8,b45d8f16-c6cf-4919-9b4d-377e5c718558,FM Pizza Oven,Melbourne,3212414890,new_lead,prospect,0,ef82ef85-b706-e674-ed4c-698e632853a3,40dfe6b7-78bb-4b68-a1b1-dba62e0e05e7
,REVIEW,"same phone, names differ",Cheddar's Casual Cafe,Melbourne,321-409-0711,new_lead,prospect,0,1986f316-a0a0-7386-3b03-52d420be74b9,644a1518-8df4-41cf-9252-51ae0d81d1f1,Cheddar's Scratch Kitchen,Melbourne,3214090711,new_lead,prospect,0,f2d341e3-1602-cbcc-a780-698e635c5e8f,e6f3a4ca-1dbd-4f3e-bb15-37a4447b29cc
,REVIEW,"same phone, names differ",Thrifty Specialty Produce & Meats,Palm Bay,321-726-8007,new_lead,prospect,0,dcd90777-3768-a703-a01b-57bc5699eb0d,3456890b-0bd3-4392-8ac8-c1aa54473417,Thrifty Specialty Meats-Prdc,Rockledge,3217268007,new_lead,prospect,0,31f3d696-52bb-abd9-2e95-698e62e71cca,62f474d5-884c-4cba-844b-115c8243543d
,REVIEW,"same phone, names differ",Clare Bridge Of West Melbourne,Melbourne,321-951-4455,new_lead,prospect,0,46c81472-7041-6d89-59ce-52d41d925aa8,5d01029a-8d65-4060-9b74-e9baea3d5d0d,Brookdale West Melbourne,Melbourne,3219514455,new_lead,prospect,0,603e0b6b-2634-188f-2c7a-698e6316def6,0927355b-844d-41da-877b-2a1e906e6e76
,REVIEW,"same phone, names differ",Breakfast At Lily's,Satellite Beach,321-773-7655,new_lead,prospect,0,26c3d70d-1e50-59ba-6e16-52d41f83b9f3,40640859-8f18-403d-812f-ee628e7b2555,Lily’s Beachside Restaurant,Satellite Beach,321-773-7655,new_lead,prospect,0,2885a4c0-5a85-f2b6-7df3-6562982e2500,8ec17a34-d540-4ea6-824c-6337c3fc0439
,REVIEW,"same phone, names differ",Riverview Senior Resort Living,Palm Bay,321-312-4555,new_lead,prospect,0,b57ab488-07c9-b51a-c6ad-6449759a9e2c,051e9ff4-939b-4531-a77d-6ad192bd3007,River View Senior Resort,Palm Bay,3213124555,new_lead,prospect,0,9bcb35cc-56d6-e051-ef21-698e639fcc95,dd288d92-3ce7-44cd-a579-b95dd8dd728b
,REVIEW,"same phone, names differ",Baci Riverside,Satellite Beach,(321) 631-2224,new_lead,prospect,0,7116de59-3e7d-c24f-52e4-67b62c6a1a08,0eedbca6-d9b1-4cb4-92c6-f5f59ea79039,Baci,Rockledge,3216312224,new_lead,prospect,0,a7e60c3f-4160-6b00-7226-698e6391d9ec,338dc846-1b5f-462c-8258-6f49f74c9e24
,REVIEW,"same phone, names differ",Baci's Pizza & Subs,Rockledge,321-631-2224,new_lead,prospect,0,9cc799ff-1809-0dbd-2d5f-52d41dd83157,bfd300f8-6adc-4257-a42c-92c4fa545a13,Baci,Rockledge,3216312224,new_lead,prospect,0,a7e60c3f-4160-6b00-7226-698e6391d9ec,338dc846-1b5f-462c-8258-6f49f74c9e24
,REVIEW,"same phone, names differ",Baci's Pizza & Subs,Rockledge,321-631-2224,new_lead,prospect,0,9cc799ff-1809-0dbd-2d5f-52d41dd83157,bfd300f8-6adc-4257-a42c-92c4fa545a13,Baci Riverside,Satellite Beach,(321) 631-2224,new_lead,prospect,0,7116de59-3e7d-c24f-52e4-67b62c6a1a08,0eedbca6-d9b1-4cb4-92c6-f5f59ea79039
,REVIEW,"same phone, names differ",Florida Haircuts,Rockledge,321-452-7644,new_lead,prospect,0,c5d39930-1348-0610-d735-52d41d70fba1,ff7597b6-5986-4980-be54-ff79f8f3a37a,Tropical Living,Merritt Island,3214527644,new_lead,prospect,0,c3bdb51e-0d2b-a85a-d161-698e636cda61,02e95994-02a3-4f6c-ad4f-f3c3246e36d6
,REVIEW,"same phone, names differ",Florida Haircuts,Rockledge,321-452-7644,new_lead,prospect,0,c5d39930-1348-0610-d735-52d41d70fba1,ff7597b6-5986-4980-be54-ff79f8f3a37a,Tropical Living Club,Merritt Island,321-452-7644,new_lead,prospect,0,574b0b4a-b313-b2d8-e383-52d41ee3e93b,71b92d68-6d18-4b60-b06d-bd1f808299ca
,REVIEW,"same phone, names differ",Amici Family Restaurant,Melbourne,321-255-5377,new_lead,prospect,0,cbb9a2d8-d25d-2022-ad3a-52d41e847d48,d061bf8e-f4eb-4cbf-b63f-3ab16c10c06c,Amici's Italian Rstrnt-Pzzr,Melbourne,3212555377,new_lead,prospect,0,c9619894-2b69-87c6-8f0e-698e6342cc60,f78a1fca-4fc8-4cf6-91f9-a26d86ce9c39
,REVIEW,"same phone, names differ",Bunky's Seafood Grille,Indialantic,321-777-2526,qualified,prospect,0,de4e3dc1-fe3e-f9ff-f55b-5614142d2def,64e8f686-1ad9-463d-b1c7-604716e92702,Bunky's Raw Bar & Grill,Indialantic,3217772526,new_lead,prospect,0,d6de57fa-2728-bb43-3bad-698e63011b98,7c17f1c5-2cce-4f9f-b613-ab3814a7abe9
,REVIEW,"same phone, names differ",Bunky's Seafood Grille & Raw,Indialantic,321-777-2526,new_lead,prospect,0,76e38641-6099-cf63-3421-52d41ff05778,90ccc665-25c6-4f81-b6c8-5b8b7e8f46e9,Bunky's Raw Bar & Brewery.,Melbourne,(321) 777-2526,new_lead,prospect,0,95fd008f-ff4f-a918-c224-68700a289b25,6a9c6e94-f363-4458-b78f-2c311e3b23bd
,REVIEW,"same phone, names differ",Bunky's Seafood Grille,Indialantic,321-777-2526,qualified,prospect,0,de4e3dc1-fe3e-f9ff-f55b-5614142d2def,64e8f686-1ad9-463d-b1c7-604716e92702,Bunky's Raw Bar & Brewery.,Melbourne,(321) 777-2526,new_lead,prospect,0,95fd008f-ff4f-a918-c224-68700a289b25,6a9c6e94-f363-4458-b78f-2c311e3b23bd
,REVIEW,"same phone, names differ",Bunky's Seafood Grille,Indialantic,321-777-2526,qualified,prospect,0,de4e3dc1-fe3e-f9ff-f55b-5614142d2def,64e8f686-1ad9-463d-b1c7-604716e92702,Bunky's Raw Bar,Satellite Beach,321-777-2526,new_lead,prospect,0,b7cc97a9-2649-8f3f-415f-5c61278d041f,f4f1e380-b579-4b34-b769-5c0beaed2e0b
,REVIEW,"same phone, names differ",Lacasa Memory Care,Merritt Island,321-449-8880,new_lead,prospect,0,48d779ad-098c-3260-1511-52d41d3c402e,e8665b76-9768-409c-91d3-dbd29ff57fa8,LA Casa Assisted Living-Memory,Merritt Island,3214498880,new_lead,prospect,0,4831f566-2344-99a4-ae11-698e63b1cf78,eb44b756-e51d-44c5-b868-9d4725e2e894
,REVIEW,"same phone, names differ",LA Casa Assisted Living,Merritt Island,321-449-8880,new_lead,prospect,0,7af7745b-ccd8-9fb5-f3a1-52d41d4819dd,5b13a58f-4d78-45b7-b6de-fb0348567f71,Lacasa Memory Care,Merritt Island,321-449-8880,new_lead,prospect,0,48d779ad-098c-3260-1511-52d41d3c402e,e8665b76-9768-409c-91d3-dbd29ff57fa8
,REVIEW,"same phone, names differ",Uno Chicago Grill,Melbourne,321-255-1400,new_lead,prospect,0,2a815219-cd2f-ec43-9f20-5555c72ba666,12dea04a-d006-4aef-830c-5647073dd439,Uno Pizzeria & Grill,Melbourne,3212551400,new_lead,prospect,0,d2dac71b-d130-457f-0226-698e633b7b06,9328f278-887b-468b-be50-446b06b82b75
