01/01/2026 - 01/31/2026
Franchisee - Sam Merrill
,
"Invoice Date","Description","Quantity","Rate","Amount"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 01/17/2026 02:30am | Performed"
"FF","50 Pound Dump f3, 50 Pound Dump f2, 50 Pound Dump f4, 50 Pound Dump f1","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 01/20/2026 02:00am | Performed"
"FF","50 Pound Dump f1, 50 Pound Dump f2, 50 Pound Dump f4, 50 Pound Dump f3","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"Advent Health Daytona Beach: 01/31/2026 12:00am | Performed"
"FF","50 Pound Dump f2, 50 Pound Dump f3, 50 Pound Dump f1, 50 Pound Dump f4","1","Charge: $90.00","$90.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$90.00"
"AdventHealth DeLand: 01/02/2026 12:00am | Performed"
"FF","50 Pound Filter f1, 50 Pound Dump f2, 50 Pound Dump f3","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","80.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 01/05/2026 12:00am | Performed"
"FF","50 Pound Filter f3, 50 Pound Filter f2, 50 Pound Filter f1","1","Charge: $150.00","$150.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 01/07/2026 12:00am | Performed"
"FF","50 Pound Dump f3, 50 Pound Dump f2, 50 Pound Dump f1","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 01/09/2026 12:00am | Performed"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$0.00"
"AdventHealth DeLand: 01/09/2026 03:00am | Performed"
"FF","50 Pound Filter f1, 50 Pound Filter f3, 50 Pound Filter f2","1","Charge: $150.00","$150.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 01/12/2026 12:00am | Performed"
"FF","50 Pound Filter f2, 50 Pound Filter f3, 50 Pound Filter f1","1","Charge: $150.00","$150.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 01/12/2026 10:35pm | Performed"
"FS","1.00 Sq. Ft. Main Kitchen","1","Main Kitchen: $1,100.00","$1,100.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$1,100.00"
"AdventHealth DeLand: 01/14/2026 12:00am | Performed"
"FF","50 Pound Filter f2, 50 Pound Filter f3, 50 Pound Filter f1","1","Charge: $150.00","$150.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 01/16/2026 12:00am | Performed"
"FF","50 Pound Filter f2, 50 Pound Filter f3, 50 Pound Filter f1","1","Charge: $150.00","$150.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 01/19/2026 12:00am | Performed"
"FF","50 Pound Dump f2, 50 Pound Filter f3, 50 Pound Dump f1","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","80.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 01/21/2026 12:00am | Performed"
"FF","50 Pound Filter f2, 50 Pound Filter f1, 50 Pound Dump f3","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 01/23/2026 12:00am | Performed"
"FF","50 Pound Dump f1, 50 Pound Dump f2, 50 Pound Filter f3","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","80.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 01/26/2026 12:00am | Performed"
"FF","50 Pound Filter f2, 50 Pound Filter f3, 50 Pound Filter f1","1","Charge: $150.00","$150.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 01/28/2026 12:00am | Performed"
"FF","50 Pound Dump f3, 50 Pound Filter f2, 50 Pound Filter f1","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth DeLand: 01/30/2026 12:00am | Performed"
"FF","50 Pound Dump f3, 50 Pound Filter f1, 50 Pound Dump f2","1","Charge: $150.00","$150.00"
"FB","Total Waste Oil Collected (lbs)","80.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$150.00"
"AdventHealth Fish Memorial: 01/02/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/03/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/05/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/07/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/09/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/10/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/10/2026 11:59pm | Performed"
"FS","1.00 Sq. Ft. Main Kitchen","1","Main Kitchen: $1,100.00","$1,100.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$1,100.00"
"AdventHealth Fish Memorial: 01/12/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/14/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/16/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/17/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/19/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/21/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/23/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/24/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/26/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/28/2026 12:00am | Performed"
"FF","75 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","60.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/30/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth Fish Memorial: 01/31/2026 12:00am | Performed"
"FF","75 Pound Filter f1","1","Charge: $75.00","$75.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 01/01/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 01/01/2026 03:38am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 01/05/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 01/08/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 01/12/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 01/15/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 01/19/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 01/22/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 01/26/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"AdventHealth New Smryna Beach: 01/29/2026 12:00am | Performed"
"FF","50 Pound Dump f1","1","Charge: $75.00","$75.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$75.00"
"Big Tunas Beach Bar/Grill: 01/01/2026 12:00am | Performed"
"FF","50 Pound Filter f1, 50 Pound Filter f3, 50 Pound Dump f4, 50 Pound Dump f2, 50 Pound Filter f5","1","Charge: $140.00","$140.00"
"FB","Total Waste Oil Collected (lbs)","80.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$140.00"
"Big Tunas Beach Bar/Grill: 01/03/2026 12:00am | Performed"
"FF","50 Pound Filter f5, 50 Pound Filter f2, 50 Pound Filter f4, 50 Pound Filter f1, 50 Pound Filter f3","1","Charge: $140.00","$140.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$140.00"
"Big Tunas Beach Bar/Grill: 01/08/2026 12:00am | Performed"
"FF","50 Pound Filter f4, 50 Pound Filter f2, 50 Pound Filter f5, 50 Pound Filter f3, 50 Pound Filter f1","1","Charge: $140.00","$140.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$140.00"
"Big Tunas Beach Bar/Grill: 01/12/2026 12:00am | Performed"
"FF","50 Pound Dump f5, 50 Pound Filter f4, 50 Pound Filter f2, 50 Pound Dump f1, 50 Pound Dump f3","1","Charge: $140.00","$140.00"
"FB","Total Waste Oil Collected (lbs)","120.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$140.00"
"Big Tunas Beach Bar/Grill: 01/22/2026 12:00am | Performed"
"FF","50 Pound Filter f1, 50 Pound Filter f2, 50 Pound Filter f3, 50 Pound Filter f5, 50 Pound Filter f4","1","Charge: $140.00","$140.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$140.00"
"Big Tunas Beach Bar/Grill: 01/24/2026 12:00am | Performed"
"FF","50 Pound Filter f1, 50 Pound Filter f5, 50 Pound Filter f2, 50 Pound Filter f3, 50 Pound Filter f4","1","Charge: $140.00","$140.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$140.00"
"Big Tunas Beach Bar/Grill: 01/31/2026 12:00am | Performed"
"FF","50 Pound Dump f1, 50 Pound Dump f4, 50 Pound Filter f5, 50 Pound Dump f2, 50 Pound Dump f3","1","Charge: $140.00","$140.00"
"FB","Total Waste Oil Collected (lbs)","160.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$140.00"
"Cape Canaveral Hospital: 01/02/2026 06:59am | Performed"
"FF","70 Pound Dump f1, 50 Pound Dump f2","1","Charge: $74.00","$74.00"
"FB","Total Waste Oil Collected (lbs)","96.00 lb","$0.00 per gallon","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$74.00"
"Cape Canaveral Hospital: 01/06/2026 12:55pm | Performed"
"FF","70 Pound Filter f1, 50 Pound Dump f2","1","Charge: $74.00","$74.00"
"FB","Total Waste Oil Collected (lbs)","40.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$74.00"
"Cape Canaveral Hospital: 01/06/2026 01:23pm | Performed"
"FF","70 Pound Dump f1, 50 Pound Dump f2","1","Charge: $74.00","$74.00"
"FB","Total Waste Oil Collected (lbs)","96.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$74.00"
"Cape Canaveral Hospital: 01/09/2026 11:36am | Performed"
"FF","50 Pound Dump f2, 70 Pound Dump f1","1","Charge: $74.00","$74.00"
"FB","Total Waste Oil Collected (lbs)","96.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$74.00"
"Cape Canaveral Hospital: 01/13/2026 01:17am | Performed"
"FF","70 Pound Dump f1, 50 Pound Dump f2","1","Charge: $74.00","$74.00"
"FB","Total Waste Oil Collected (lbs)","96.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$74.00"
"Cape Canaveral Hospital: 01/16/2026 12:21pm | Performed"
"FF","50 Pound Dump f2, 70 Pound Dump f1","1","Charge: $74.00","$74.00"
"FB","Total Waste Oil Collected (lbs)","96.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$74.00"
"Cape Canaveral Hospital: 01/20/2026 02:25pm | Performed"
"FF","50 Pound Dump f2, 70 Pound Dump f1","1","Charge: $74.00","$74.00"
"FB","Total Waste Oil Collected (lbs)","96.00 lb","$0.00 per gallon","$0.00"
"FG","Oil Sold to Customer (gals)","0.00","$0.00 per gals","$0.00"
"Price Adjustment (+/-)","Price Adjustment","","","+$0.00"
"","","","Total","$74.00"
